Title	Franchise	Format	Genres	Era	Links
"=""Falling Down"""	"="""""	"=""movie"""	"=""crime, suspense"""	"=""1993"""	"=""https://en.wikipedia.org/wiki/Falling_Down, https://tv.apple.com/us/movie/falling-down/umc.cmc.1r822fvuj5yl5amd272dyviqu"""
"=""Fargo"""	"="""""	"=""series"""	"=""comedy, crime"""	"=""2014-"""	"=""https://en.wikipedia.org/wiki/Fargo_(TV_series), https://tv.apple.com/us/show/fargo/umc.cmc.2zs573npbhr5fessb48q5zjfe"""
"=""Fear the Walking Dead"""	"=""The Walking Dead"""	"=""series"""	"=""horror, zombies"""	"=""2015-"""	"=""https://en.wikipedia.org/wiki/Fear_the_Walking_Dead, https://tv.apple.com/us/show/fear-the-walking-dead/umc.cmc.62qslnaw3g07ww2mtqlp3c92h"""
"=""Ferris Bueller's Day Off"""	"="""""	"=""movie"""	"=""comedy, high school"""	"=""1986"""	"=""https://en.wikipedia.org/wiki/Ferris_Bueller%27s_Day_Off, https://tv.apple.com/us/movie/ferris-buellers-day-off/umc.cmc.3ri2g44lv8rk6k16zpdein5x7"""
"=""Fight Club"""	"="""""	"=""movie"""	"=""action, crime, politics"""	"=""1999"""	"=""https://en.wikipedia.org/wiki/Fight_Club, https://tv.apple.com/us/movie/fight-club/umc.cmc.70dbl3043tb6ealg0u12k1pih"""
"=""Finding Carter"""	"="""""	"=""series"""	"=""drama, high school"""	"=""2014-2015"""	"=""https://en.wikipedia.org/wiki/Finding_Carter, https://tv.apple.com/us/show/finding-carter/umc.cmc.1qasmjq5r95yz337di6iue8om"""
"=""Firefly"""	"=""Firefly"""	"=""series"""	"=""science fiction, space, western"""	"=""2002"""	"=""https://en.wikipedia.org/wiki/Firefly_(TV_series), https://tv.apple.com/us/show/firefly/umc.cmc.1997ln2icbn41yvgpxogy7iln"""
"=""The First Purge"""	"=""The Purge"""	"=""movie"""	"=""action, horror, politics"""	"=""2018"""	"=""https://en.wikipedia.org/wiki/The_First_Purge, https://tv.apple.com/us/movie/the-first-purge/umc.cmc.7gv6zt29z4lv0ihxmubcrxr49"""
"=""Fist of Fury"""	"="""""	"=""movie"""	"=""action, kung fu"""	"=""1972"""	"=""https://en.wikipedia.org/wiki/Fist_of_Fury, https://tv.apple.com/us/movie/fist-of-fury/umc.cmc.1zszifqb2kyk1lfqgx7oh1i0j"""
"=""Fletch"""	"="""""	"=""movie"""	"=""adventure, comedy, mystery"""	"=""1985"""	"=""https://en.wikipedia.org/wiki/Fletch_(film), https://tv.apple.com/us/movie/fletch/umc.cmc.32ph55vzt2oc18hea0d0b0o8g"""
"=""The Following"""	"="""""	"=""series"""	"=""crime, suspense"""	"=""2013-2015"""	"=""https://en.wikipedia.org/wiki/The_Following, https://tv.apple.com/us/show/the-following/umc.cmc.4pdv10xghokioxeufk8lelvw0"""
"=""Freaks and Geeks"""	"="""""	"=""series"""	"=""comedy, drama, high school"""	"=""1999-2000"""	"=""https://en.wikipedia.org/wiki/Freaks_and_Geeks"""
"=""Friday the 13th"""	"=""Friday the 13th"""	"=""movie"""	"=""horror, mystery, suspense"""	"=""1980"""	"=""https://en.wikipedia.org/wiki/Friday_the_13th_(1980_film), https://tv.apple.com/us/movie/friday-the-13th/umc.cmc.4cny06c1e312h2mfd2utrtve2"""
"=""Friday the 13th Part 2"""	"=""Friday the 13th"""	"=""movie"""	"=""horror, mystery, suspense"""	"=""1981"""	"=""https://en.wikipedia.org/wiki/Friday_the_13th_Part_2, https://tv.apple.com/us/movie/friday-the-13th-part-2/umc.cmc.4qxudo25e348go1d61sinsz14"""
"=""Fringe"""	"="""""	"=""series"""	"=""conspiracy, monsters, science fiction"""	"=""2008-2013"""	"=""https://en.wikipedia.org/wiki/Fringe_(TV_series), https://tv.apple.com/us/show/fringe/umc.cmc.43ga3zpxgj8x0w2xl0n0d1p2c"""
"=""Futurama"""	"="""""	"=""series"""	"=""animation, comedy, science fiction"""	"=""1999-2013"""	"=""https://en.wikipedia.org/wiki/Futurama, https://tv.apple.com/us/show/futurama/umc.cmc.l1gxucmkpno29c5bum47oxsp"""
